model_id,scenario,kind,comparison_group,optimization_scope,status,skip_reason,pruning_sparsity,observed_sparsity,perplexity,perplexity_increase_percent,logits_mse,logits_kl_divergence,top1_agreement,generated_token_agreement,storage_megabytes,quality_acceptable,canonical_source,canonical_source_priority,canonical_table,method_family,evidence_level,delta_ppl_le_2pct,delta_ppl_le_5pct,delta_ppl_le_10pct
facebook/opt-6.7b,blocks_int8_dynamic,quantization_int8_dynamic,bf16,transformer_blocks,complete,,0.0,0.0,40.67493109639149,165.05175777027836,3.9423667967319487,2.7125830471515657,0.3,0.04375,6558.28125,False,modelos_opt_6_7b_2026-09-16,102,model_quality,int8_dynamic,C_physical_acceleration_candidate,False,False,False
facebook/opt-6.7b,attention_pruning_2to4,pruning_2to4,fp16,attention_only,complete,,0.5,0.5,21.311124666726705,38.82131717473209,0.4104260981082916,0.1399798167869448,0.75,0.2197610296308994,10908.03125,False,modelos_opt_6_7b_2026-09-16,102,model_quality,pruning_2to4,C_physical_acceleration_candidate,False,False,False
facebook/opt-6.7b,blocks_pruning_2to4,pruning_2to4,fp16,transformer_blocks,complete,,0.5,0.5,168.0966517454086,994.9867251442467,2.5873146414756776,1.7664603739976883,0.4,0.0359375,7324.03125,False,modelos_opt_6_7b_2026-09-16,102,model_quality,pruning_2to4,C_physical_acceleration_candidate,False,False,False
facebook/opt-350m,int8dyn_attention_all,quantization_int8_dynamic,bf16,attention_only,complete,,0.0,0.0,33.33278768739035,-0.03629040693229,0.4961908783763647,0.0175892171449959,1.0,0.3602987945079803,535.89453125,True,modelos_opt_sensibilidade_350m_2026-09-19,105,model_quality,other,unclassified,True,True,True
facebook/opt-350m,int8dyn_mlp_all,quantization_int8_dynamic,bf16,transformer_blocks,complete,,0.0,0.0,33.47456236820939,0.38888624357646,0.1003652025945484,0.0080078739440068,1.0,0.3186920430511236,439.94140625,True,modelos_opt_sensibilidade_350m_2026-09-19,105,model_quality,other,unclassified,True,True,True
facebook/opt-350m,int8dyn_attention_layers_0_7,quantization_int8_dynamic,bf16,attention_only,complete,,0.0,0.0,33.22816054298812,-0.35006306755296,0.035576060344465,0.0028816264151828,1.0,0.5909539476037026,599.76953125,True,modelos_opt_sensibilidade_350m_2026-09-19,105,model_quality,other,unclassified,True,True,True
facebook/opt-350m,int8dyn_attention_layers_8_15,quantization_int8_dynamic,bf16,attention_only,complete,,0.0,0.0,33.37144903864108,0.07965345366371,0.058896072441712,0.0040391615300904,1.0,0.4714935995638371,599.76953125,True,modelos_opt_sensibilidade_350m_2026-09-19,105,model_quality,other,unclassified,True,True,True
facebook/opt-350m,int8dyn_attention_layers_16_23,quantization_int8_dynamic,bf16,attention_only,complete,,0.0,0.0,33.52833518883884,0.55014880210635,0.1930731264874339,0.013207203708589,1.0,0.4453669540584087,599.76953125,True,modelos_opt_sensibilidade_350m_2026-09-19,105,model_quality,other,unclassified,True,True,True
facebook/opt-350m,int8dyn_mlp_layers_0_7,quantization_int8_dynamic,bf16,transformer_blocks,complete,,0.0,0.0,33.444422017146614,0.29849652493278,0.023900659487117,0.0015040834376122,1.0,0.6264555931091309,567.78515625,True,modelos_opt_sensibilidade_350m_2026-09-19,105,model_quality,other,unclassified,True,True,True
facebook/opt-350m,int8dyn_mlp_layers_8_15,quantization_int8_dynamic,bf16,transformer_blocks,complete,,0.0,0.0,33.26391661279855,-0.24283203088597,0.0635047943796962,0.0037412981851957,1.0,0.5405427634716033,567.78515625,True,modelos_opt_sensibilidade_350m_2026-09-19,105,model_quality,other,unclassified,True,True,True
facebook/opt-350m,int8dyn_mlp_layers_16_23,quantization_int8_dynamic,bf16,transformer_blocks,complete,,0.0,0.0,33.63981373136886,0.8844685342524101,0.0315335477236658,0.0052545412909239,1.0,0.4424780700355768,567.78515625,True,modelos_opt_sensibilidade_350m_2026-09-19,105,model_quality,other,unclassified,True,True,True
